,id,rownames,Geography,Metro
1,1,1,"Anderson County, Texas",NA
2,2,3,"Andrews County, Texas",NA
3,3,5,"Angelina County, Texas",NA
4,4,7,"Aransas County, Texas",7
5,5,9,"Archer County, Texas",NA
6,6,11,"Armstrong County, Texas",13
7,7,13,"Atascosa County, Texas",3
8,8,15,"Austin County, Texas",2
9,9,17,"Bailey County, Texas",NA
10,10,19,"Bandera County, Texas",3
11,11,21,"Bastrop County, Texas",4
12,12,23,"Baylor County, Texas",NA
13,13,25,"Bee County, Texas",NA
14,14,27,"Bell County, Texas",9
15,15,29,"Bexar County, Texas",3
16,16,31,"Blanco County, Texas",NA
17,17,33,"Borden County, Texas",NA
18,18,35,"Bosque County, Texas",NA
19,19,37,"Bowie County, Texas",NA
20,20,39,"Brazoria County, Texas",2
21,21,41,"Brazos County, Texas",15
22,22,43,"Brewster County, Texas",NA
23,23,45,"Briscoe County, Texas",NA
24,24,47,"Brooks County, Texas",NA
25,25,49,"Brown County, Texas",NA
26,26,51,"Burleson County, Texas",15
27,27,53,"Burnet County, Texas",NA
28,28,55,"Caldwell County, Texas",4
29,29,57,"Calhoun County, Texas",NA
30,30,59,"Callahan County, Texas",NA
31,31,61,"Cameron County, Texas",8
32,32,63,"Camp County, Texas",NA
33,33,65,"Carson County, Texas",13
34,34,67,"Cass County, Texas",NA
35,35,69,"Castro County, Texas",NA
36,36,71,"Chambers County, Texas",2
37,37,73,"Cherokee County, Texas",NA
38,38,75,"Childress County, Texas",NA
39,39,77,"Clay County, Texas",NA
40,40,79,"Cochran County, Texas",NA
41,41,81,"Coke County, Texas",NA
42,42,83,"Coleman County, Texas",NA
43,43,85,"Collin County, Texas",1
44,44,87,"Collingsworth County, Texas",NA
45,45,89,"Colorado County, Texas",NA
46,46,91,"Comal County, Texas",3
47,47,93,"Comanche County, Texas",NA
48,48,95,"Concho County, Texas",NA
49,49,97,"Cooke County, Texas",NA
50,50,99,"Coryell County, Texas",9
51,51,101,"Cottle County, Texas",NA
52,52,103,"Crane County, Texas",NA
53,53,105,"Crockett County, Texas",NA
54,54,107,"Crosby County, Texas",11
55,55,109,"Culberson County, Texas",NA
56,56,111,"Dallam County, Texas",NA
57,57,113,"Dallas County, Texas",1
58,58,115,"Dawson County, Texas",NA
59,59,117,"Deaf Smith County, Texas",NA
60,60,119,"Delta County, Texas",NA
61,61,121,"Denton County, Texas",1
62,62,123,"DeWitt County, Texas",NA
63,63,125,"Dickens County, Texas",NA
64,64,127,"Dimmit County, Texas",NA
65,65,129,"Donley County, Texas",NA
66,66,131,"Duval County, Texas",NA
67,67,133,"Eastland County, Texas",NA
68,68,135,"Ector County, Texas",NA
69,69,137,"Edwards County, Texas",NA
70,71,139,"El Paso County, Texas",5
71,70,141,"Ellis County, Texas",1
72,72,143,"Erath County, Texas",NA
73,73,145,"Falls County, Texas",14
74,74,147,"Fannin County, Texas",NA
75,75,149,"Fayette County, Texas",NA
76,76,151,"Fisher County, Texas",NA
77,77,153,"Floyd County, Texas",NA
78,78,155,"Foard County, Texas",NA
79,79,157,"Fort Bend County, Texas",2
80,80,159,"Franklin County, Texas",NA
81,81,161,"Freestone County, Texas",NA
82,82,163,"Frio County, Texas",NA
83,83,165,"Gaines County, Texas",NA
84,84,167,"Galveston County, Texas",2
85,85,169,"Garza County, Texas",NA
86,86,171,"Gillespie County, Texas",NA
87,87,173,"Glasscock County, Texas",NA
88,88,175,"Goliad County, Texas",NA
89,89,177,"Gonzales County, Texas",NA
90,90,179,"Gray County, Texas",NA
91,91,181,"Grayson County, Texas",NA
92,92,183,"Gregg County, Texas",NA
93,93,185,"Grimes County, Texas",NA
94,94,187,"Guadalupe County, Texas",3
95,95,189,"Hale County, Texas",NA
96,96,191,"Hall County, Texas",NA
97,97,193,"Hamilton County, Texas",NA
98,98,195,"Hansford County, Texas",NA
99,99,197,"Hardeman County, Texas",NA
100,100,199,"Hardin County, Texas",10
101,101,201,"Harris County, Texas",2
102,102,203,"Harrison County, Texas",NA
103,103,205,"Hartley County, Texas",NA
104,104,207,"Haskell County, Texas",NA
105,105,209,"Hays County, Texas",4
106,106,211,"Hemphill County, Texas",NA
107,107,213,"Henderson County, Texas",NA
108,108,215,"Hidalgo County, Texas",6
109,109,217,"Hill County, Texas",NA
110,110,219,"Hockley County, Texas",NA
111,111,221,"Hood County, Texas",1
112,112,223,"Hopkins County, Texas",NA
113,113,225,"Houston County, Texas",NA
114,114,227,"Howard County, Texas",NA
115,115,229,"Hudspeth County, Texas",5
116,116,231,"Hunt County, Texas",1
117,117,233,"Hutchinson County, Texas",NA
118,118,235,"Irion County, Texas",NA
119,119,237,"Jack County, Texas",NA
120,120,239,"Jackson County, Texas",NA
