"","X","Old_id","id","rownames","Geography","Metro","HabitatSuitability","GDP_capita","mosquito.abundance","MF","R0","R0_round","MetroR0","metro_round"
"1",1,1,1,1,"Anderson County, Texas",NA,0.001541406,31815,0.305854926,0.161610787,0.635835215,0.6,0.635835215,0.6
"2",2,2,2,3,"Andrews County, Texas",NA,0.002407934,54928,0.025585424,0.134715135,0.044337149,0,0.044337149,0
"3",3,3,3,5,"Angelina County, Texas",NA,0.00234951,37132,0.362231294,0.153496404,0.715225397,0.7,0.715225397,0.7
"4",4,4,4,7,"Aransas County, Texas",7,0.006138357,43292,0.363286654,0.145840598,0.681532599,0.7,0.769282374100747,0.8
"5",5,5,5,9,"Archer County, Texas",NA,0.000523685,52139,0.086633584,0.137075579,0.152758408,0.2,0.152758408,0.2
"6",6,6,6,11,"Armstrong County, Texas",13,0.000604133,43290,0.085704897,0.145842844,0.160786476,0.2,0.142116543253443,0.1
"7",7,7,7,13,"Atascosa County, Texas",3,0.001626358,37172,0.557499472,0.153441326,1.100387271,1.1,1.01306410485482,1
"8",8,8,8,15,"Austin County, Texas",2,0.000953931,46741,0.325009262,0.142161388,0.594341621,0.6,0.810191659406406,0.8
"9",9,9,9,17,"Bailey County, Texas",NA,0.000643462,44960,0.047416399,0.144014278,0.087840111,0.1,0.087840111,0.1
"10",10,10,10,19,"Bandera County, Texas",3,0.0009233,40868,0.484738849,0.148668808,0.927014313,0.9,1.01306410485482,1
"11",11,11,11,21,"Bastrop County, Texas",4,0.001385631,30383,0.500289186,0.164110903,1.056129819,1.1,0.875387976895515,0.9
"12",12,12,12,23,"Baylor County, Texas",NA,0.000532479,41473,0.086113398,0.147942347,0.163878501,0.2,0.163878501,0.2
"13",13,13,13,25,"Bee County, Texas",NA,0.001613139,29203,0.711934881,0.166292182,1.522898139,1.5,1.522898139,1.5
"14",14,14,14,27,"Bell County, Texas",9,0.006878237,40007,0.428379332,0.149727759,0.825067704,0.8,0.956456935874137,1
"15",15,15,15,29,"Bexar County, Texas",3,0.057462152,40857,0.539551026,0.148682149,1.031929683,1,1.01306410485482,1
"16",16,16,16,31,"Blanco County, Texas",NA,0.000707144,57949,0.402441953,0.132332242,0.685058522,0.7,0.685058522,0.7
"17",17,17,17,33,"Borden County, Texas",NA,0.001166149,48928,0.04246367,0.140010895,0.07647828,0.1,0.07647828,0.1
"18",18,18,18,35,"Bosque County, Texas",NA,0.000761924,38229,0.461430748,0.152013914,0.902295155,0.9,0.902295155,0.9
"19",19,19,19,37,"Bowie County, Texas",NA,0.001636637,35795,0.183954325,0.155384203,0.367684753,0.4,0.367684753,0.4
"20",20,20,20,39,"Brazoria County, Texas",2,0.017973441,42519,0.63354877,0.146719095,1.195708854,1.2,0.810191659406406,0.8
"21",21,21,21,41,"Brazos County, Texas",15,0.006519324,32740,0.253278995,0.160074233,0.521530073,0.5,0.533366537453247,0.5
"22",22,22,22,43,"Brewster County, Texas",NA,0.007500705,40576,0.036725191,0.149024581,0.070401308,0.1,0.070401308,0.1
"23",23,23,23,45,"Briscoe County, Texas",NA,0.00063913,41914,0.079253261,0.147421656,0.150292455,0.2,0.150292455,0.2
"24",24,24,24,47,"Brooks County, Texas",NA,0.001949186,36606,0.290535284,0.154228119,0.576396318,0.6,0.576396318,0.6
"25",25,25,25,49,"Brown County, Texas",NA,0.000879218,32743,0.365503297,0.160069344,0.752589607,0.8,0.752589607,0.8
"26",26,26,26,51,"Burleson County, Texas",15,0.001220673,40097,0.261711533,0.149615651,0.503684564,0.5,0.533366537453247,0.5
"27",27,27,27,53,"Burnet County, Texas",NA,0.001145717,43688,0.305461772,0.145398614,0.571315341,0.6,0.571315341,0.6
"28",28,28,28,55,"Caldwell County, Texas",4,0.001012972,29283,0.480487817,0.166140609,1.026873465,1,0.875387976895515,0.9
"29",29,29,29,57,"Calhoun County, Texas",NA,0.004614758,39013,0.28931395,0.150988732,0.56191764,0.6,0.56191764,0.6
"30",30,30,30,59,"Callahan County, Texas",NA,0.000817621,36138,0.192605273,0.154891035,0.383754259,0.4,0.383754259,0.4
"31",31,31,31,61,"Cameron County, Texas",8,0.063882543,25211,0.231792014,0.174642912,0.520724708,0.5,0.523073871942837,0.5
"32",32,32,32,63,"Camp County, Texas",NA,0.000141191,35936,0.486697592,0.155180713,0.971528831,1,0.971528831,1
"33",33,33,33,65,"Carson County, Texas",13,0.000665157,44901,0.072895991,0.144077329,0.135100839,0.1,0.142116543253443,0.1
"34",34,34,34,67,"Cass County, Texas",NA,0.000750231,33870,0.32021315,0.158273882,0.651939314,0.7,0.651939314,0.7
"35",35,35,35,69,"Castro County, Texas",NA,0.000446548,52974,0.063892151,0.136351545,0.112064054,0.1,0.112064054,0.1
"36",36,36,36,71,"Chambers County, Texas",2,0.005250411,46986,0.409860536,0.141913865,0.748203415,0.7,0.810191659406406,0.8
"37",37,37,37,73,"Cherokee County, Texas",NA,0.001461792,32422,0.277943809,0.160595875,0.574182755,0.6,0.574182755,0.6
"38",38,38,38,75,"Childress County, Texas",NA,0.000640566,25621,0.070175822,0.173706323,0.156805716,0.2,0.156805716,0.2
"39",39,39,39,77,"Clay County, Texas",NA,0.000513079,49808,0.074030948,0.139181427,0.132541948,0.1,0.132541948,0.1
"40",40,40,40,79,"Cochran County, Texas",NA,0.000596571,45610,0.040611441,0.143326874,0.074874646,0.1,0.074874646,0.1
"41",41,41,41,81,"Coke County, Texas",NA,0.000830093,33588,0.049724043,0.158715596,0.101518407,0.1,0.101518407,0.1
"42",42,42,42,83,"Coleman County, Texas",NA,0.001019025,35709,0.250785035,0.155508843,0.501666917,0.5,0.501666917,0.5
"43",43,43,43,85,"Collin County, Texas",1,0.007530037,59146,0.217904416,0.131433436,0.368409352,0.4,0.484432655865983,0.5
