location,annual.mean.temp,mean.diurnal.range,isothermality,temp.seasonality,maxtemp.warm.month,mintemp.cold.month,temp.annual.range,meantemp.wet.quart,meantemp.dry.quart,meantemp.warm.quart,meantemp.cold.quart,annual.precip,precip.wet.month,precip.dry.month,precip.seasonality,precip.wet.quart,precip.dry.quart,precip.warm.quart,precip.cold.quart,elevation.mean,aspect.mean,slope.mean,artificial.surface,HabitatSuitability,RelativeRnott
Anderson,189.1449843,128.157001,38.0007837,7067.557994,352.2941484,20.06426332,332.2298851,227.1789446,274.8936782,275.9879833,92.95820272,1057.498955,120.4224138,53.67345873,20.43286311,314.9299896,208.0052247,208.396813,241.6765935,121.3790491,184.2522,1026.63935,0.020979233,0.001541406,0.5854633
Andrews,171.024913,159.5592599,43.17200953,7513.134823,345.4612566,-19.94541125,365.4066679,254.5651218,73.41289613,264.7979483,71.66037736,385.8316541,64.45557794,10.15350797,56.5799597,165.148562,36.10789522,148.5623741,36.11412347,967.5557794,134.8371,372.17083,0.018986633,0.002407934,3.853009
Angelina,187.7301899,131.3038638,40.40078585,6878.549116,344.4554682,23.17910936,321.2763589,225.8844139,266.8300589,272.4060249,95.40340537,1185.02816,128.4986902,69.81827112,15.11067453,335.5615586,253.4024231,260.2115259,306.8795023,77.72658808,169.526,693.11678,0.04984836,0.00234951,0.6094082
Aransas,216.4527518,91.62824507,35.4278297,5716.199377,329.1370717,74.1536864,254.9833853,262.0913811,180.3738318,283.271028,136.6915888,923.509865,158.2440291,34.71339564,41.11007269,336.9823468,142.1962617,259.9657321,166.5929387,6.185877466,190.124,117.00303,0.087699235,0.006138357,5.2568558
Archer,176.6801938,143.3779528,36.97334949,8297.628407,363.3437311,-19.08449425,382.4282253,221.5266505,67.90520896,281.1017565,65.92368262,726.4848577,107.9370079,27.11599031,40.92761962,255.7480315,101.150212,184.592974,101.1814052,330.0027256,163.5405,585.05031,0.005650529,0.000523685,1.0826511
Armstrong,142.3955224,158.2698507,39.49820896,8375.671642,336.1755224,-59.32507463,395.500597,239.318806,32.27283582,248.7104478,32.27283582,517.3785075,92.70238806,11.81462687,60.18477612,227.6635821,40.67791045,226.1779104,40.67791045,959.1740299,141.2039,1842.47208,0.006626145,0.000604133,5.6710566
Atascosa,210.7170709,135.4933428,41.95149786,6449.196624,360.8585354,41.30218735,319.5563481,253.2039943,138.1956728,287.339515,121.3927722,675.9481693,94.59010937,26.96172135,38.42154066,227.0986686,104.4869234,181.7327627,109.9232049,133.9614836,158.2783,621.89722,0.015328208,0.001626358,0.9064185
Austin,199.9238845,125.9103237,39.51006124,6619.792651,353.5021872,38.34514436,315.1570429,222.3285214,138.3097113,280.5896763,109.8648294,1041.711724,126.1587927,58.23665792,24.02668416,311.2965879,209.7655293,240.3219598,227.5643045,73.08442695,139.4801,573.71722,0.029099474,0.000953931,0.8612992
Bailey,140.4268617,170.568484,43.58277926,7866.953125,329.9454787,-57.16921543,387.1146941,240.9993351,39.29055851,240.9993351,38.22706117,439.8557181,70.78756649,11.22839096,62.11768617,201.7024601,37.22207447,201.7024601,37.22207447,1187.053524,136.5465,475.96843,0.008170784,0.000643462,1.9894936
Bandera,188.7111031,134.2105641,41.2554797,6605.642831,340.2863816,19.21164211,321.0747395,232.2429033,100.1257636,268.2227812,98.82644628,729.0330579,95.66043838,34.55012576,33.81890047,242.0772548,115.7128997,206.2734459,115.7362558,508.7265541,169.7109,2481.95262,0.005216414,0.0009233,1.0297568
Bastrop,197.8746803,126.331202,38.70108696,6809.876279,354.0898338,31.39162404,322.6982097,235.7528772,121.3420716,280.8008312,105.2701407,898.1959719,119.7269821,44.39705882,31.4814578,290.9402174,172.5485934,195.9469309,178.2266624,146.2119565,174.5895,845.80263,0.019997589,0.001385631,0.5074884
Baylor,172.5396825,147.4484127,37.22802198,8468.407814,361.971917,-28.31196581,390.2838828,219.259768,72.54242979,278.8864469,59.21550672,676.4267399,99.79395604,23.58028083,43.56074481,236.3388278,87.60103785,188.8180708,88.27442002,386.0253358,166.8217,747.77214,0.005502144,0.000532479,2.497788
Bee,214.7888301,123.0046266,40.83840053,6041.118308,354.7597488,57.78585592,296.9738929,262.3172505,146.2495043,286.4306015,131.3486451,781.1421018,121.0627892,30.41573034,38.91903503,268.6166557,122.9980172,224.6820886,130.6407799,76.03998678,142.6575,497.80972,0.028546873,0.001613139,1.080665
Bell,190.8380282,124.7780386,36.60459051,7315.781168,353.700313,17.52243088,336.1778821,230.5013041,106.8002087,280.6345853,91.95931142,841.7788211,113.5140845,44.28377673,28.54825248,279.118675,165.6322379,181.8218571,167.833855,206.4334898,150.2714,1037.965,0.037265106,0.006878237,0.602974
Bexar,203.259666,125.1466484,39.99611073,6552.946008,351.9105468,42.90963166,309.0009151,244.2891787,124.7542896,283.3317319,115.6614047,725.5012583,96.59185541,36.84168383,32.97735072,236.6181652,125.7705331,177.1857698,130.050103,249.6540837,153.5065,1011.77262,0.136023468,0.057462152,0.8819175
Blanco,186.8817891,133.6118211,40.13059105,6853.985623,345.2264377,16.20646965,329.0199681,225.4760383,94.94728435,270.9688498,94.82627796,816.3198882,113.9728435,41.6485623,33.78674121,273.721246,141.2875399,198.1162141,141.2875399,412.783147,154.6942,1875.07337,0.005045458,0.000707144,1.7738082
Borden,170.8229135,148.6131814,40.38404681,7707.301509,345.5537419,-17.97166615,363.5254081,254.5617493,68.23252233,267.0803819,68.23252233,498.3963659,77.57807207,15.75331075,53.16661534,191.7385279,50.32060363,179.0696027,50.32060363,778.4182322,145.8134,1105.83023,0.010610772,0.001166149,27.4727333
Bosque,183.9165032,136.551415,37.79546091,7602.927431,356.4833287,-0.135892407,356.6192211,225.2869151,81.27178481,277.847016,81.14345755,827.1784814,117.8887644,44.6360325,30.63855422,287.6237041,146.2723452,193.6716167,146.2723452,258.0198935,132.4814,1322.98136,0.00548024,0.000761924,0.8763652
Bowie,172.8665676,129.7904903,37.00267459,7698.851709,340.2193165,-5.775334324,345.9946508,172.8502229,258.6710253,268.6368499,69.35274889,1219.856464,129.7453195,70.87459138,16.64576523,358.9135215,258.1491828,268.284101,278.0154532,102.4570579,161.9877,474.39683,0.036197251,0.001636637,0.3734199
Brazoria,204.5390438,102.9511952,37.02848606,6061.608964,331.7237052,57.60039841,274.1233068,273.4934263,165.5900398,277.0695219,121.2292829,1268.450797,168.3778884,66.35677291,26.28286853,406.5563745,219.5330677,377.4667331,265.659761,11.45258964,160.8743,150.7677,0.100796114,0.017973441,1.5883571
Brazos,198.9257831,122.8857831,38.38361446,6810.871325,355.4645783,39.76048193,315.7040964,235.8154217,283.1566265,283.1566265,107.9383133,1006.725783,124.1638554,54.39759036,23.69590361,304.6178313,202.9595181,202.9595181,224.5946988,88.72819277,154.6037,506.24885,0.076706583,0.006519324,0.9058631
