id,Geography
1,"Anderson County, Texas"
2,"Andrews County, Texas"
3,"Angelina County, Texas"
4,"Aransas County, Texas"
5,"Archer County, Texas"
6,"Armstrong County, Texas"
7,"Atascosa County, Texas"
8,"Austin County, Texas"
9,"Bailey County, Texas"
10,"Bandera County, Texas"
11,"Bastrop County, Texas"
12,"Baylor County, Texas"
13,"Bee County, Texas"
14,"Bell County, Texas"
15,"Bexar County, Texas"
16,"Blanco County, Texas"
17,"Borden County, Texas"
18,"Bosque County, Texas"
19,"Bowie County, Texas"
20,"Brazoria County, Texas"
21,"Brazos County, Texas"
22,"Brewster County, Texas"
23,"Briscoe County, Texas"
24,"Brooks County, Texas"
25,"Brown County, Texas"
26,"Burleson County, Texas"
27,"Burnet County, Texas"
28,"Caldwell County, Texas"
29,"Calhoun County, Texas"
30,"Callahan County, Texas"
31,"Cameron County, Texas"
32,"Camp County, Texas"
33,"Carson County, Texas"
34,"Cass County, Texas"
35,"Castro County, Texas"
36,"Chambers County, Texas"
37,"Cherokee County, Texas"
38,"Childress County, Texas"
39,"Clay County, Texas"
40,"Cochran County, Texas"
41,"Coke County, Texas"
42,"Coleman County, Texas"
43,"Collin County, Texas"
44,"Collingsworth County, Texas"
45,"Colorado County, Texas"
46,"Comal County, Texas"
47,"Comanche County, Texas"
48,"Concho County, Texas"
49,"Cooke County, Texas"
50,"Coryell County, Texas"
51,"Cottle County, Texas"
52,"Crane County, Texas"
53,"Crockett County, Texas"
54,"Crosby County, Texas"
55,"Culberson County, Texas"
56,"Dallam County, Texas"
57,"Dallas County, Texas"
58,"Dawson County, Texas"
59,"Deaf Smith County, Texas"
60,"Delta County, Texas"
61,"Denton County, Texas"
62,"DeWitt County, Texas"
63,"Dickens County, Texas"
64,"Dimmit County, Texas"
65,"Donley County, Texas"
66,"Duval County, Texas"
67,"Eastland County, Texas"
68,"Ector County, Texas"
69,"Edwards County, Texas"
70,"Ellis County, Texas"
71,"El Paso County, Texas"
72,"Erath County, Texas"
73,"Falls County, Texas"
74,"Fannin County, Texas"
75,"Fayette County, Texas"
76,"Fisher County, Texas"
77,"Floyd County, Texas"
78,"Foard County, Texas"
79,"Fort Bend County, Texas"
80,"Franklin County, Texas"
81,"Freestone County, Texas"
82,"Frio County, Texas"
83,"Gaines County, Texas"
84,"Galveston County, Texas"
85,"Garza County, Texas"
86,"Gillespie County, Texas"
87,"Glasscock County, Texas"
88,"Goliad County, Texas"
89,"Gonzales County, Texas"
90,"Gray County, Texas"
91,"Grayson County, Texas"
92,"Gregg County, Texas"
93,"Grimes County, Texas"
94,"Guadalupe County, Texas"
95,"Hale County, Texas"
96,"Hall County, Texas"
97,"Hamilton County, Texas"
98,"Hansford County, Texas"
99,"Hardeman County, Texas"
100,"Hardin County, Texas"
101,"Harris County, Texas"
102,"Harrison County, Texas"
103,"Hartley County, Texas"
104,"Haskell County, Texas"
105,"Hays County, Texas"
106,"Hemphill County, Texas"
107,"Henderson County, Texas"
108,"Hidalgo County, Texas"
109,"Hill County, Texas"
110,"Hockley County, Texas"
111,"Hood County, Texas"
112,"Hopkins County, Texas"
113,"Houston County, Texas"
114,"Howard County, Texas"
115,"Hudspeth County, Texas"
116,"Hunt County, Texas"
117,"Hutchinson County, Texas"
118,"Irion County, Texas"
119,"Jack County, Texas"
120,"Jackson County, Texas"
121,"Jasper County, Texas"
122,"Jeff Davis County, Texas"
123,"Jefferson County, Texas"
124,"Jim Hogg County, Texas"
125,"Jim Wells County, Texas"
126,"Johnson County, Texas"
127,"Jones County, Texas"
128,"Karnes County, Texas"
129,"Kaufman County, Texas"
130,"Kendall County, Texas"
131,"Kenedy County, Texas"
132,"Kent County, Texas"
133,"Kerr County, Texas"
