,id,Geography,R0_round,importation_probability,importation.current,importation.projected,importation.worse.projected
1,1,"Anderson County, Texas",0.6,0.001,0,0.001,0.005
2,2,"Andrews County, Texas",0,0,0,0,0
3,3,"Angelina County, Texas",0.7,0.001,0,0.001,0.005
4,4,"Aransas County, Texas",0.7,0.005,0.002,0.005,0.022
5,5,"Archer County, Texas",0.2,0,0,0,0
6,6,"Armstrong County, Texas",0.2,0,0,0,0
7,7,"Atascosa County, Texas",1.1,0.002,0.001,0.002,0.009
8,8,"Austin County, Texas",0.6,0.001,0,0.001,0.005
9,9,"Bailey County, Texas",0.1,0,0,0,0
10,10,"Bandera County, Texas",0.9,0.001,0,0.001,0.005
11,11,"Bastrop County, Texas",1.1,0.001,0,0.001,0.005
12,12,"Baylor County, Texas",0.2,0,0,0,0
13,13,"Bee County, Texas",1.5,0.001,0,0.001,0.005
14,14,"Bell County, Texas",0.8,0.004,0.001,0.004,0.018
15,15,"Bexar County, Texas",1,0.059,0.018,0.059,0.266
16,16,"Blanco County, Texas",0.7,0.001,0,0.001,0.005
17,17,"Borden County, Texas",0.1,0.001,0,0.001,0.005
18,18,"Bosque County, Texas",0.9,0,0,0,0
19,19,"Bowie County, Texas",0.4,0,0,0,0
20,20,"Brazoria County, Texas",1.2,0.007,0.002,0.007,0.032
21,21,"Brazos County, Texas",0.5,0.025,0.008,0.025,0.112
22,22,"Brewster County, Texas",0.1,0,0,0,0
23,23,"Briscoe County, Texas",0.2,0,0,0,0
24,24,"Brooks County, Texas",0.6,0.001,0,0.001,0.005
25,25,"Brown County, Texas",0.8,0,0,0,0
26,26,"Burleson County, Texas",0.5,0.002,0.001,0.002,0.009
27,27,"Burnet County, Texas",0.6,0.001,0,0.001,0.005
28,28,"Caldwell County, Texas",1,0.001,0,0.001,0.005
29,29,"Calhoun County, Texas",0.6,0.005,0.002,0.005,0.022
30,30,"Callahan County, Texas",0.4,0,0,0,0
31,31,"Cameron County, Texas",0.5,0.127,0.038,0.127,0.572
32,32,"Camp County, Texas",1,0.001,0,0.001,0.005
33,33,"Carson County, Texas",0.1,0,0,0,0
34,34,"Cass County, Texas",0.7,0,0,0,0
35,35,"Castro County, Texas",0.1,0,0,0,0
36,36,"Chambers County, Texas",0.7,0.003,0.001,0.003,0.014
37,37,"Cherokee County, Texas",0.6,0.001,0,0.001,0.005
38,38,"Childress County, Texas",0.2,0,0,0,0
39,39,"Clay County, Texas",0.1,0,0,0,0
40,40,"Cochran County, Texas",0.1,0,0,0,0
41,41,"Coke County, Texas",0.1,0,0,0,0
42,42,"Coleman County, Texas",0.5,0,0,0,0
43,43,"Collin County, Texas",0.4,0.052,0.016,0.052,0.234
44,44,"Collingsworth County, Texas",0.1,0,0,0,0
45,45,"Colorado County, Texas",0.6,0.001,0,0.001,0.005
46,46,"Comal County, Texas",0.9,0.005,0.002,0.005,0.022
47,47,"Comanche County, Texas",0.7,0,0,0,0
48,48,"Concho County, Texas",0.7,0,0,0,0
49,49,"Cooke County, Texas",0.3,0,0,0,0
50,50,"Coryell County, Texas",0.9,0,0,0,0
51,51,"Cottle County, Texas",0.1,0,0,0,0
52,52,"Crane County, Texas",0,0,0,0,0
53,53,"Crockett County, Texas",0.4,0,0,0,0
54,54,"Crosby County, Texas",0.2,0,0,0,0
55,55,"Culberson County, Texas",0,0,0,0,0
56,56,"Dallam County, Texas",0,0,0,0,0
57,57,"Dallas County, Texas",0.5,0.114,0.034,0.114,0.513
58,58,"Dawson County, Texas",0.1,0,0,0,0
59,59,"Deaf Smith County, Texas",0.1,0,0,0,0
60,60,"Delta County, Texas",0.3,0,0,0,0
61,61,"Denton County, Texas",0.5,0.048,0.014,0.048,0.216
62,62,"DeWitt County, Texas",0.9,0.001,0,0.001,0.005
63,63,"Dickens County, Texas",0.2,0,0,0,0
64,64,"Dimmit County, Texas",0.9,0.001,0,0.001,0.005
65,65,"Donley County, Texas",0.1,0,0,0,0
66,66,"Duval County, Texas",1,0,0,0,0
67,67,"Eastland County, Texas",0.5,0,0,0,0
68,68,"Ector County, Texas",0.2,0,0,0,0
69,69,"Edwards County, Texas",0.4,0,0,0,0
70,70,"Ellis County, Texas",0,0.004,0.001,0.004,0.018
71,71,"El Paso County, Texas",0.5,0.001,0,0.001,0.005
72,72,"Erath County, Texas",0.5,0,0,0,0
73,73,"Falls County, Texas",1.2,0.001,0,0.001,0.005
74,74,"Fannin County, Texas",0.3,0,0,0,0
75,75,"Fayette County, Texas",0.8,0.001,0,0.001,0.005
76,76,"Fisher County, Texas",0.1,0,0,0,0
77,77,"Floyd County, Texas",0.1,0,0,0,0
78,78,"Foard County, Texas",0.1,0,0,0,0
79,79,"Fort Bend County, Texas",1,0.021,0.006,0.021,0.095
80,80,"Franklin County, Texas",0.4,0,0,0,0
81,81,"Freestone County, Texas",0.6,0.001,0,0.001,0.005
82,82,"Frio County, Texas",1.1,0,0,0,0
83,83,"Gaines County, Texas",0.1,0,0,0,0
84,84,"Galveston County, Texas",0.8,0.01,0.003,0.01,0.045
85,85,"Garza County, Texas",0.1,0,0,0,0
86,86,"Gillespie County, Texas",0.6,0.001,0,0.001,0.005
87,87,"Glasscock County, Texas",0.1,0,0,0,0
88,88,"Goliad County, Texas",1.6,0.001,0,0.001,0.005
89,89,"Gonzales County, Texas",0.9,0.001,0,0.001,0.005
90,90,"Gray County, Texas",0.2,0,0,0,0
91,91,"Grayson County, Texas",0.2,0,0,0,0
92,92,"Gregg County, Texas",0.4,0.001,0,0.001,0.005
93,93,"Grimes County, Texas",0.5,0.001,0,0.001,0.005
94,94,"Guadalupe County, Texas",1.3,0.004,0.001,0.004,0.018
95,95,"Hale County, Texas",0.1,0,0,0,0
96,96,"Hall County, Texas",0.2,0,0,0,0
97,97,"Hamilton County, Texas",0.8,0,0,0,0
98,98,"Hansford County, Texas",0,0,0,0,0
99,99,"Hardeman County, Texas",0.1,0,0,0,0
