"id","county","mosquito.abundance","gdp","importation.projected"
1,"anderson",0.853697743128461,26610.284,0.001
2,"andrews",0.0685106329358104,35641.404,0
3,"angelina",0.970571238093745,38026.305,0.002
4,"aransas",0.616280256127049,37818.89,0.002
5,"archer",0.308860036289636,39691.589,0.001
6,"armstrong",0.0857645253358832,37871.932,0.001
7,"atascosa",0.415519075529801,28963.581,0.001
8,"austin",1.00254213498101,39383.01,0.001
9,"bailey",0.0632077433396611,31482.362,0
10,"bandera",0.300481653039251,37227.076,0.001
11,"bastrop",0.653922754510721,31266.891,0.001
12,"baylor",0.184416558258863,30499.876,0.002
13,"bee",0.641311759370352,23396.96,0.001
14,"bell",0.716296178125391,39220.858,0.003
15,"bexar",0.698090530505885,40879.729,0.043
16,"blanco",0.394867951427489,41710.124,0.001
17,"borden",0.0720358020288873,38775.379,0.001
18,"bosque",0.480076104757952,32536.976,0.001
19,"bowie",0.648209238447095,35782.421,0.003
20,"brazoria",0.919033255622152,39928.743,0.004
21,"brazos",0.905766960232694,30840.368,0.081
22,"brewster",0.0801209588538258,35967.199,0.005
23,"briscoe",0.0936444748585779,32286.911,0.001
24,"brooks",0.566672967547104,24133.321,0.004
25,"brown",0.199733325143713,31091.355,0.001
26,"burleson",0.687663886186313,32082.107,0.001
27,"burnet",0.398636307794984,39070.981,0.002
28,"caldwell",0.767365232178633,29098.604,0.001
29,"calhoun",0.494368272674605,32582.63,0.001
30,"callahan",0.091037947283384,32005.183,0.001
31,"cameron",0.819340131966154,23111.079,0.003
32,"camp",0.272276730379172,38153.166,0.002
33,"carson",0.111156866164701,37150.686,0
34,"cass",0.783321686936441,32193.719,0.001
35,"castro",0.0842332532433191,52694.591,0
36,"chambers",0.814549243003683,43703.073,0.001
37,"cherokee",0.817201204040862,33499.99,0.002
38,"childress",0.168312716442416,23676.53,0.002
39,"clay",0.172187586613044,34745.621,0.001
40,"cochran",0.0645586283327707,40625.486,0
41,"coke",0.128920407156599,24820.307,0.001
42,"coleman",0.208536858756879,30621.072,0.001
43,"collin",0.565220871957036,57839.717,0.035
44,"collingsworth",0.135240812064657,41763.63,0.001
45,"colorado",0.970359325520767,36157.665,0.001
46,"comal",0.720811846700306,44052.182,0.003
47,"comanche",0.0839117988779374,33790.592,0.003
48,"concho",0.133181113434639,24011.231,0.001
49,"cooke",0.148474983977738,39072.394,0.001
50,"coryell",0.56657427115954,34516.687,0.001
51,"cottle",0.0831752238595267,35672.152,0.001
52,"crane",0.135871791171679,30573.769,0.001
53,"crockett",0.114191024879811,24199.423,0.001
54,"crosby",0.0791125936026355,40716.171,0.001
55,"culberson",0.033543174449048,23517.614,0.001
56,"dallam",0.0374095842250685,38876.355,0
57,"dallas",0.96071839613034,53546.658,0.051
58,"dawson",0.097813370706197,28318.798,0.001
59,"deaf smith",0.0412124728205501,31607.628,0.001
60,"delta",0.233423369936669,26724.424,0.001
61,"denton",0.572352635332073,46646.445,0.011
62,"dewitt",0.663029281142092,30906.117,0.001
63,"dickens",0.065750733595378,23922.847,0.001
64,"dimmit",0.279865231638048,24296.916,0.002
65,"donley",0.125028056081351,32651.056,0.001
66,"duval",0.469940860480837,26625.173,0.001
67,"eastland",0.0553757646344346,36375.169,0.001
68,"ector",0.125015170073392,33805.732,0.001
69,"edwards",0.144114876218706,25489.821,0.001
70,"ellis",0.752072119850235,36731.466,0.002
71,"el paso",0.188664123571377,30914.278,0.003
72,"erath",0.154709032595257,32399.158,0.003
73,"falls",0.769307195490932,27519.929,0.001
74,"fannin",0.233246527218452,29716.904,0.001
75,"fayette",0.837529873753412,39539.383,0.001
76,"fisher",0.166249600247212,33174.015,0.001
77,"floyd",0.062556768979908,38334.642,0.001
78,"foard",0.138432799573024,29115.56,0.002
79,"fort bend",0.9504067098263,49039.677,0.011
80,"franklin",0.294652439903216,34113.263,0.002
81,"freestone",0.766074484873136,29202.935,0.001
82,"frio",0.347027239199837,23870.057,0.001
83,"gaines",0.113756184855464,33221.986,0
84,"galveston",0.89093053349501,44064.577,0.004
85,"garza",0.0707040774610679,33141.213,0
86,"gillespie",0.0734188966476254,45119.742,0.002
87,"glasscock",0.0586622064084402,42188.842,0
88,"goliad",0.600174105588975,30558.357,0.001
89,"gonzales",0.704836186582803,34813.385,0.002
90,"gray",0.10910242669118,40791.958,0.001
91,"grayson",0.241835495532883,33906.468,0.002
92,"gregg",0.564621382044287,43640.862,0.002
93,"grimes",1.0658837297761,28889.711,0.001
94,"guadalupe",0.561495591659217,37976.86,0.002
95,"hale",0.0854559236137356,30219.99,0.001
96,"hall",0.0835353656446352,26459.337,0.001
97,"hamilton",0.190172342881234,33984.755,0.001
98,"hansford",0.0903402308765823,47637.175,0.001
99,"hardeman",0.121000843364968,31314.711,0.003
100,"hardin",1.04187622110695,36208.487,0.001
101,"harris",1.19525465658428,55713.502,0.242
102,"harrison",0.744601476456417,35480.763,0.001
103,"hartley",0.0432349232774238,37313.669,0
104,"haskell",0.289166414467519,35494.964,0.001
105,"hays",0.693396308597147,34012.451,0.005
106,"hemphill",0.101343130769403,50025.61,0
107,"henderson",0.735603641714869,32738.907,0.002
108,"hidalgo",0.834947258833657,21822.695,0.004
109,"hill",0.721314905534339,31286.171,0.001
