id,Geography,rnott.low,rnott.high,rnott.high.slope,increase.cr,decrease.cr,decrease.b,increase.b,increase.alpha,decrease.alpha,July,September,October,November,August
1,"Anderson County, Texas",0.257878369,1.411612624,0.488880164,0.715198055,0.451704035,0.241407545,0.958861746,0.765900456,0.191475114,0.668706452,0.420338132,0.041249166,5.38E-05,0.579686845
2,"Andrews County, Texas",0.01741121,0.095308047,0.03300779,0.048288127,0.030497764,0.016299147,0.064739602,0.051711408,0.012927852,0.046790756,0.020578711,0.0001291,1.57E-07,0.039138798
3,"Angelina County, Texas",0.282932438,1.548757281,0.216661407,0.784682835,0.495589159,0.264861398,1.052019573,0.840311207,0.210077802,0.733674359,0.461175914,0.045256712,5.90E-05,0.636006087
4,"Aransas County, Texas",0.345775843,1.892758775,0.507187923,0.958972293,0.605666711,0.323690963,1.285688406,1.026956535,0.256739134,0.805533668,0.650160519,0.285942492,0.005237219,0.77727228
5,"Archer County, Texas",0.069961178,0.382963809,0.079538412,0.19402984,0.122545162,0.065492722,0.260134643,0.207785161,0.05194629,0.188013152,0.082688733,0.001222377,1.48E-06,0.157266291
6,"Armstrong County, Texas",0.047180832,0.258265391,0.039394176,0.130850987,0.082642729,0.044167368,0.175431134,0.140127381,0.035031845,0.131403589,0.109914412,4.10E-05,1.71E-08,0.106058168
7,"Atascosa County, Texas",0.519350043,2.842894813,0.590490998,1.440361758,0.909702163,0.48617889,1.931084376,1.542473052,0.385618263,1.209899283,0.976531183,0.269965021,0.00269433,1.167451109
8,"Austin County, Texas",0.309296839,1.693074623,0.452869989,0.857801678,0.541769481,0.289541891,1.150049568,0.91861365,0.229653413,0.720550674,0.54147747,0.094094675,0.000511717,0.695270834
9,"Bailey County, Texas",0.02139294,0.117103829,0.021415504,0.05933103,0.03747223,0.020026562,0.079544756,0.063537174,0.015884293,0.061747962,0.01329445,2.31E-05,9.58E-09,0.048089361
10,"Bandera County, Texas",0.389385746,2.131477089,0.415762092,1.079919691,0.682054542,0.364515479,1.447841857,1.156478234,0.289119558,0.844594138,0.460224008,0.02643187,8.12E-05,0.875303328
11,"Bastrop County, Texas",0.469826398,2.571804988,0.587756578,1.303013231,0.822955725,0.439818346,1.746942028,1.395387502,0.348846875,1.094526958,0.822512156,0.142931181,0.000777305,1.056126513
12,"Baylor County, Texas",0.084297056,0.461437651,0.172505134,0.233788863,0.147656124,0.07891296,0.313439328,0.250362813,0.062590703,0.196381899,0.086369332,0.001276787,5.31E-07,0.189492026
13,"Bee County, Texas",0.716612066,3.922696748,0.874882981,1.987446866,1.255229599,0.670841687,2.664558101,2.128342561,0.53208564,1.554361853,1.254553037,0.551756083,0.010105765,1.610877986
14,"Bell County, Texas",0.421675761,2.308230931,0.921564086,1.169472591,0.738614268,0.394743114,1.567904893,1.25237979,0.313094948,0.982353246,0.595827363,0.058470502,7.62E-05,0.94788831
15,"Bexar County, Texas",0.508210295,2.781916416,0.658649282,1.409466858,0.890189595,0.475750643,1.889663769,1.509387926,0.377346982,1.183947666,0.889709787,0.154608378,0.000840809,1.14240998
16,"Blanco County, Texas",0.327637683,1.79347144,0.41006056,0.908668047,0.573895609,0.306711297,1.218245804,0.973086079,0.24327152,0.849599886,0.534044838,0.05240758,6.83E-05,0.736499364
17,"Borden County, Texas",0.028537566,0.156213135,0.019994804,0.079145885,0.049986875,0.026714857,0.106110414,0.084756759,0.02118919,0.085364951,0.031404011,0.000575185,2.39E-07,0.064149823
18,"Bosque County, Texas",0.366299555,2.005104491,0.339881482,1.01589261,0.641616385,0.342903815,1.362001133,1.087912093,0.271978023,0.984390711,0.432937905,0.024864758,2.44E-05,0.823407694
19,"Bowie County, Texas",0.151162093,0.827453344,0.21126479,0.419231886,0.264778033,0.141507293,0.562061677,0.448952413,0.112238103,0.391979627,0.178661969,0.002641138,1.00E-05,0.339798476
20,"Brazoria County, Texas",0.606114808,3.317840571,0.944857397,1.680994547,1.061680767,0.567401945,2.253699314,1.800164976,0.450041244,1.362490317,1.061108526,0.315066493,0.003144456,1.362490317
21,"Brazos County, Texas",0.236541595,1.29481625,0.277087015,0.656022798,0.414330188,0.221433563,0.879525834,0.702530099,0.175632525,0.551057058,0.414106866,0.071960983,0.000124803,0.531723742
22,"Brewster County, Texas",0.024891889,0.136256889,0.04499702,0.069034989,0.043601046,0.023302031,0.092554796,0.073929074,0.018482268,0.06009764,0.029420298,0.00209348,2.05E-06,0.055954675
23,"Briscoe County, Texas",0.045187902,0.2473562,0.05720734,0.125323811,0.07915188,0.042301728,0.168020882,0.134208368,0.033552092,0.12585307,0.02266517,3.93E-05,5.12E-08,0.101578246
24,"Brooks County, Texas",0.292011271,1.598454338,0.350299886,0.809862008,0.511491794,0.273360362,1.08577714,0.867275402,0.216818851,0.656414469,0.511216103,0.224834333,0.015998688,0.656414469
25,"Brown County, Texas",0.302177334,1.654102828,0.453859687,0.838056493,0.529298838,0.282877113,1.123577317,0.897468674,0.224367169,0.783578451,0.357150371,0.020512081,2.01E-05,0.679266842
26,"Burleson County, Texas",0.253522348,1.387767998,0.458222166,0.703117099,0.444073957,0.237329746,0.942664881,0.752963047,0.188240762,0.590616121,0.443834604,0.077126889,0.000133762,0.569894912
27,"Burnet County, Texas",0.249338365,1.364865095,0.321943668,0.69151327,0.436745223,0.233412997,0.927107696,0.74053659,0.185134147,0.646561301,0.406418046,0.039883142,5.20E-05,0.560489703
