Geography,July,September,October,November,December
"Anderson County, Texas",83.1,77.1,67.5,57.5,48.7
"Andrews County, Texas",80.2,72.6,63.1,51.5,43.1
"Angelina County, Texas",82.8,77.1,67.3,58,49.2
"Aransas County, Texas",83.9,80.4,73.3,64.8,56.5
"Archer County, Texas",84.3,75.9,65,53.3,43.3
"Armstrong County, Texas",78.3,76.8,58.2,46.3,36.6
"Atascosa County, Texas",84.4,80,71.7,62.1,53.4
"Austin County, Texas",84,78.9,70.3,60.7,51.9
"Bailey County, Texas",77.4,69,58.3,46.7,38
"Bandera County, Texas",81.3,75.7,67,56.9,48.4
"Bastrop County, Texas",83.7,78.7,69.5,60.1,51.1
"Baylor County, Texas",84.3,75.5,64.6,52.6,42.5
"Bee County, Texas",84.5,80.4,73.3,64,55.5
"Bell County, Texas",83.3,77.4,67.6,56.9,48.3
"Bexar County, Texas",83.5,79,70.4,60.7,52
"Blanco County, Texas",81.9,76.2,67.2,57.2,48.3
"Borden County, Texas",81.5,73.6,63.7,52.4,43.1
"Bosque County, Texas",83.3,75.8,66,55.5,45.9
"Bowie County, Texas",82.6,75.5,64.6,54.8,45.6
"Brazoria County, Texas",83.2,79.2,71.4,62.8,55.1
"Brazos County, Texas",83.8,78.5,69.4,59.8,51
"Brewster County, Texas",79.4,73.5,65.3,55.2,47.6
"Briscoe County, Texas",78.8,70.2,59.4,47.6,38.2
"Brooks County, Texas",85.4,81.3,74,65.4,57.5
"Brown County, Texas",82.7,75.7,66.1,55.3,46
"Burleson County, Texas",83.8,78.5,69.5,59.8,51
"Burnet County, Texas",82.6,76.6,67.4,57,47.7
"Caldwell County, Texas",83.6,78.5,69.4,60,51.2
"Calhoun County, Texas",84.2,80.6,73.6,64.8,56.3
"Callahan County, Texas",83.4,75.8,65.9,54.9,45.5
"Cameron County, Texas",84.7,81.9,75.9,68.5,60.8
"Camp County, Texas",82.8,75.6,64.7,54.5,45.1
"Carson County, Texas",78.8,69.9,58.7,46.6,36.1
"Cass County, Texas",82.6,75.5,64.6,54.9,45.6
"Castro County, Texas",77.2,68.7,57.8,46,36.9
"Chambers County, Texas",83.4,78.9,70.8,61.9,54.4
"Cherokee County, Texas",82.6,76.9,67.1,57.2,48.5
"Childress County, Texas",82.8,73.7,62.6,50.9,41.1
"Clay County, Texas",83.9,75.6,64.5,52.8,43.1
"Cochran County, Texas",77.6,69.4,59.2,47.6,38.8
"Coke County, Texas",82.3,74.6,64.8,53.4,44.1
"Coleman County, Texas",82.8,75.7,66.2,55.3,45.9
"Collin County, Texas",83.4,76.2,65.6,54.1,44.8
"Collingsworth County, Texas",80.3,71.4,60.2,48.3,38.5
"Colorado County, Texas",83.6,79,70.9,61.4,52.9
"Comal County, Texas",82.4,77.1,68.4,58.8,49.9
"Comanche County, Texas",82,75,65.2,54.3,44.9
"Concho County, Texas",82.7,75.6,66.2,55.9,46.2
"Cooke County, Texas",82.8,75.3,64.4,53.5,43.4
"Coryell County, Texas",82.6,76,66.5,55.9,46.7
"Cottle County, Texas",82.7,73.8,63,51.4,41.5
"Crane County, Texas",83.2,75.8,66.3,54.5,45.6
"Crockett County, Texas",82.6,76.4,66.4,54.7,46
"Crosby County, Texas",80,71.5,61.4,49.7,40.6
"Culberson County, Texas",78.7,71.3,61.9,50.4,42.6
"Dallam County, Texas",76.3,67.3,55.5,44.1,34.5
"Dallas County, Texas",85,77.1,66.8,56.3,46.8
"Dawson County, Texas",79.5,71.6,61.9,50.3,41.6
"Deaf Smith County, Texas",77.3,68.8,57.5,45.8,36.4
"Delta County, Texas",82.7,75.2,64.6,53.9,44.3
"Denton County, Texas",83.3,75.9,65.1,53.4,44.5
"DeWitt County, Texas",83.7,79.1,70.8,61.6,52.8
"Dickens County, Texas",80.8,72.7,62.3,51.4,41
"Dimmit County, Texas",86.2,81.5,73,63.1,54.2
"Donley County, Texas",78.9,70.1,58.8,46.9,37.2
"Duval County, Texas",85.4,81.2,73.9,65,57.1
"Eastland County, Texas",83.1,75.6,65.7,54.6,45.2
"Ector County, Texas",82.3,74.9,65.6,53.9,45.2
"Edwards County, Texas",81.5,75.7,66.9,56.8,47.8
"El Paso County, Texas",82,74.7,64.2,52.2,43.8
"Ellis County, Texas",84.7,77.3,66.9,56.1,47
"Erath County, Texas",82.9,75.5,65.6,54.7,45.3
"Falls County, Texas",84.1,77.8,67.6,57.1,48
"Fannin County, Texas",82.8,75.2,64.7,53.5,44
"Fayette County, Texas",83.7,78.7,69.7,60.5,51.5
"Fisher County, Texas",82.6,74.4,64.4,52.8,43.2
"Floyd County, Texas",78.3,70,59.6,47.5,38.3
"Foard County, Texas",83.4,74.4,63.2,51.5,41.5
"Fort Bend County, Texas",83.7,79.3,71.4,62.4,54.5
"Franklin County, Texas",82.6,75.4,64.6,54.4,45.1
"Freestone County, Texas",83.4,77.4,67.6,57.3,48.1
"Frio County, Texas",84.4,79.8,71.3,61.4,52.5
"Gaines County, Texas",79.7,72,62.5,50.7,42.3
"Galveston County, Texas",83,79,71.1,62.4,54.9
"Garza County, Texas",80.7,72.6,62.6,51.1,41.8
"Gillespie County, Texas",81.2,75.3,66.3,56.2,47.4
"Glasscock County, Texas",81.7,74.2,64.5,52.9,44
"Goliad County, Texas",83.9,80,72.1,63.4,55.1
"Gonzales County, Texas",83.7,78.9,70.3,60.8,51.9
"Gray County, Texas",79,70.3,58.7,46.5,36.5
"Grayson County, Texas",83.1,75.3,64.5,53.4,43.6
"Gregg County, Texas",82.7,76.1,65.7,56,46.9
"Grimes County, Texas",83.8,78.6,69.5,60,51.2
