"county","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"anderson",9.696375,11.34034,15.374815,19.077175,23.876945,27.57299,29.23666,29.709415,26.31121,20.81647,15.218885,9.765335
"andrews",8.18386,10.416305,14.52814,19.057725,24.062685,27.95229,28.508815,28.404255,24.71045,19.370835,12.689835,7.86708
"angelina",10.210695,11.88578,15.7871,19.303045,23.91492,27.420995,28.706835,29.083475,26.18564,21.006875,15.45882,10.286135
"aransas",16.08421,17.06081,19.008695,22.110245,25.511705,27.978675,28.66151,29.268785,28.132465,24.892045,20.75806,16.75642
"archer",7.3235,9.056855,13.90818,18.37959,23.908795,28.666625,30.738105,31.01623,25.99361,19.667855,13.199205,7.097315
"armstrong",5.134945,6.825375,11.51029,16.24356,21.526585,26.440415,28.22601,27.8923,23.309405,17.17507,10.401265,4.930495
"atascosa",13.9147,15.77591,18.896805,22.888665,27.297715,29.710265,29.86372,30.65524,28.107875,23.619485,18.59356,13.7197
"austin",11.942175,13.51142,16.735335,20.410765,25.0214,28.14354,28.962255,29.60288,27.099555,22.07366,16.85451,12.00069
"bailey",5.45356,7.547895,11.64293,16.340715,21.63878,26.2201,27.23209,26.697775,22.73523,16.9874,10.2844,5.37785
"bandera",11.71708,13.581155,17.121965,21.196335,25.548635,28.0026,28.10118,28.72527,25.899065,21.312635,16.120525,11.51058
"bastrop",11.98874,13.66744,17.033345,21.002325,25.820635,28.83047,29.6454,30.442345,27.670495,22.410775,16.98805,12.043405
"baylor",7.440635,9.15077,13.990815,18.58036,24.044265,28.86162,30.77697,30.969005,26.13451,19.80397,13.18776,7.143895
"bee",14.69022,16.450125,19.29839,22.959175,26.89526,29.235835,29.3464,30.05287,28.04159,24.04213,19.33364,14.744225
"bell",10.600025,12.224755,16.097205,20.352625,25.413725,28.87684,30.23842,30.837335,27.395595,21.76314,15.90673,10.662525
"bexar",12.78329,14.58797,17.890245,21.944195,26.33191,28.98104,29.358105,30.053135,27.387925,22.716615,17.50454,12.640355
"blanco",10.87506,12.678365,16.336455,20.54684,25.215405,28.085065,28.761655,29.347375,26.360375,21.285815,15.79401,10.84224
"borden",7.952085,10.003435,14.3285,19.064315,23.98544,28.061075,28.9187,28.940575,25.12934,19.45541,12.81358,7.658685
"bosque",9.481605,11.058755,15.13633,19.506705,24.79125,28.78106,30.45167,30.86195,26.78996,21.045285,14.923995,9.44015
"bowie",7.603655,9.20694,13.844205,17.813245,22.722325,26.79081,28.91585,29.256675,25.3741,19.53565,13.677335,7.70855
"brazoria",13.675,14.65255,17.326075,20.665035,24.788615,27.670755,28.45511,28.9136,27.143215,23.05821,18.54517,14.161105
"brazos",11.114695,12.761215,16.33773,20.02546,24.937835,28.28679,29.50389,30.030885,27.004465,21.71099,16.21601,11.121215
"brewster",10.78299,12.93153,16.58856,21.168005,25.589855,28.463505,28.084405,27.98158,25.198485,20.85051,14.95307,10.56558
"briscoe",5.84691,7.5444,12.18988,16.921725,22.15541,26.802965,28.49646,28.314095,23.79921,17.79189,11.153105,5.62673
"brooks",16.76729,18.478605,21.143845,24.494015,27.89951,29.5967,29.614135,30.14726,28.362675,25.071625,20.71169,16.670955
"brown",9.377475,10.99446,15.11757,19.595625,24.747,28.35885,29.552115,29.975575,25.871305,20.4084,14.36666,9.195425
"burleson",11.366095,12.98107,16.529735,20.27456,25.225935,28.51169,29.66618,30.24057,27.19034,21.881115,16.428765,11.3742
"burnet",10.47294,12.158195,15.993675,20.26926,25.191945,28.33568,29.36166,29.98794,26.684025,21.333175,15.51402,10.466245
"caldwell",12.27927,13.970395,17.25659,21.15785,25.912255,28.81545,29.457195,30.32685,27.64932,22.445215,17.257295,12.276
"calhoun",14.615585,15.7776,18.23157,21.647785,25.340745,27.985485,28.632595,29.23439,27.708855,23.80342,19.35848,15.1025
"callahan",8.52316,10.22762,14.57753,19.11559,24.13058,28.083315,29.32213,29.67646,25.46498,19.77182,13.633555,8.4046
"cameron",18.430415,19.6058,21.550115,24.142835,26.9343,28.75249,29.207275,29.593935,28.43633,25.851475,22.18534,18.85734
"camp",8.22842,9.85567,14.29096,18.054945,23.061805,27.04398,29.041755,29.444825,25.62893,19.829825,14.147845,8.29274
"carson",4.38198,5.962615,10.762595,15.60756,20.859365,25.95258,27.84193,27.40871,22.835535,16.4958,9.75843,4.20298
"cass",8.077395,9.676165,14.20825,18.07135,22.924445,26.922355,28.9102,29.26146,25.53769,19.79102,14.06444,8.20854
"castro",4.689005,6.65128,10.949685,15.65089,21.102085,25.76588,26.99937,26.59642,22.412995,16.48863,9.67592,4.527185
"chambers",13.050685,14.090955,16.898035,20.12621,24.379765,27.55117,28.50094,28.84813,26.943965,22.670645,18.110345,13.68648
"cherokee",9.565525,11.195095,15.275695,19.00008,23.734835,27.390085,28.952035,29.381755,26.11848,20.72546,15.11473,9.63267
"childress",6.45889,8.25013,13.048815,17.752435,23.174565,28.19973,30.19207,30.189175,25.3577,18.93812,12.15089,6.11572
