Geography,TotalDirectSpending(dollars),Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Local(dollars),SEX_AND_AGE_Total_population_Male,COMMUTING_TO_WORK_Workers_16_years_and_over_Other_means_Percentage,maxtemp.warm.month,PERCENTAGE_OF_FAMILIES_AND_PEOPLE_WHOSE_INCOME_IN_THE_PAST_12_MONTHS_IS_BELOW_THE_POVERTY_LEVEL_All_people,precip.wet.quart,HEALTH_INSURANCE_COVERAGE_Civilian_noninstitutionalized_population_No_health_insurance_coverage,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,probability
Anderson,56970,3.2,920,34875,0.8,352.2941,20.3,314.93,10001,1329,0.00127535738883
Andrews,24180,3.8,450,7801,1.5,345.4613,12.5,165.1486,4300,356,0.000389814174557
Angelina,132670,5,1770,42643,2.2,344.4555,19.3,335.5616,16468,2773,0.00162861343801
Aransas,101690,7.3,2020,11547,1.5,329.1371,19.6,336.9823,4461,1271,0.00176698213419
Archer,1820,4.9,20,4441,0.5,363.3437,11.3,255.748,1524,296,0.000944980899819
Armstrong,1440,5.8,0,860,1.2,336.1755,11.1,227.6636,237,73,0.000545562564172
Atascosa,73660,4.9,1930,22576,0.5,360.8585,16.4,227.0987,10007,1401,0.00119845159655
Austin,42960,5.2,370,14246,1.2,353.5022,10.1,311.2966,5292,986,0.00093275302579
Bailey,4240,3.9,80,3708,1,329.9455,13,201.7025,2669,159,0.000316861329127
Bandera,35480,7,790,9980,0.5,340.2864,15.3,242.0773,4337,1092,0.00111376812517
Bastrop,143830,4.9,3620,38114,1.7,354.0898,16.5,290.9402,16758,2453,0.00137739236302
Baylor,6730,6.4,20,1759,0,361.9719,15.4,236.3388,739,177,0.0015542535087
Bee,47670,3,980,19440,2.3,354.7597,22.2,268.6167,5093,641,0.0012301620088
Bell,408000,7.4,7470,157292,1.5,353.7003,15.3,279.1187,46338,13918,0.00335462507454
Bexar,7168840,9.6,163690,861032,1.4,351.9105,17.6,236.6182,343187,104164,0.0484892177733
Blanco,14010,8,280,5354,1.8,345.2264,9.3,273.7212,2233,616,0.00118135005636
Borden,100,8.6,0,326,0.7,345.5537,0.9,191.7385,60,36,0.000555042504505
Bosque,13230,4.8,230,8966,1.3,356.4833,14.7,287.6237,3733,611,0.00113802987993
Bowie,190680,7.1,2330,46932,1.7,340.2193,19.7,358.9135,16716,4397,0.00265677979885
Brazoria,339960,9.9,5950,162326,1.8,331.7237,11.2,406.5564,59369,20259,0.0037790947807
Brazos,437830,17.9,8350,100056,2.6,355.4646,29.8,304.6178,31281,17439,0.0896851359923
Brewster,56370,16.4,1260,4531,3.5,341.3845,12.4,169.0818,2083,1052,0.00638067377715
Briscoe,1400,4.8,0,834,0.1,339.6492,18.6,219.64,482,55,0.00074866115277
Brooks,15240,4.2,200,3882,0,360.8865,38.3,235.4274,1897,185,0.00443324463304
Brown,50010,4.6,1030,18809,1.2,349.5981,18.4,246.1723,7197,1167,0.00106246428654
Burleson,14320,3.4,170,8648,0.7,356.0118,15,307.6529,2886,406,0.000890713390309
Burnet,79910,6.9,1920,21415,0.8,347.1862,16.3,267.1373,8523,2081,0.00156760157138
Caldwell,33150,4.2,390,19360,1.2,355.8705,18.7,294.9019,8636,1025,0.00134789018061
Calhoun,37180,5.7,830,10873,1.1,330.869,17.6,342.3464,3997,798,0.00112818509132
Callahan,3570,3.7,40,6574,0.2,346.9501,15.2,229.9064,3256,353,0.000578591806915
Cameron,823740,4.5,17780,198056,2.2,337.848,34.8,277.1632,139224,10531,0.00290950227315
Camp,17740,5.6,60,6099,1.1,346.7855,21.8,344.7373,2948,453,0.0021129671607
Carson,7140,6,10,3049,1.3,334.2287,7.2,227.5353,924,255,0.000420749374744
Cass,23000,3.8,260,14525,1.7,340.9108,20.9,350.7045,6059,807,0.00122330577845
Castro,3130,2.6,20,4092,1.7,325.3141,24.1,208.3043,2543,123,0.000472241451054
Chambers,33770,5.4,860,17913,1.5,331.8103,9.7,383.4932,5867,1238,0.000751132170707
Cherokee,38710,4,500,25859,1.4,347.24,24.5,320.8796,11599,1304,0.0017442376521
Childress,16690,7.6,560,4150,0.5,360.0702,15.9,215.8012,795,367,0.00192931900677
Clay,23460,5.9,30,5325,0.8,359.8706,10.3,274.469,1579,445,0.00109646810292
Cochran,890,3.4,10,1538,1,327.719,15.1,203.4584,968,63,0.000312123008022
Coke,3120,5.4,20,1625,1.4,348.4414,11,213.6171,766,129,0.000633741164894
Coleman,6740,3.2,90,4314,0.9,350.2367,27.6,231.955,2483,188,0.00132750560964
Collin,1331630,16.6,27760,398954,1.6,348.7075,7.8,342.9594,120666,86431,0.0386035301088
Collingsworth,2230,4.7,10,1464,2.1,354.7822,20.4,225.584,623,98,0.00126891902756
Colorado,62080,4.2,700,10206,0.9,351.4863,16.6,313.849,4447,604,0.00109226705027
Comal,382130,10.6,8170,55076,1.6,347.8718,10.2,277.6404,17869,8198,0.00291501835137
Comanche,13810,6.5,140,6827,0.5,348.696,26.4,262.3609,3891,610,0.00274167140945
Concho,1410,3.7,20,2741,0,353.8475,16.5,208.0282,866,124,0.000684872432058
Cooke,65850,5.5,1120,19044,1,351.294,14.8,315.2471,8523,1402,0.00132689420934
Coryell,49860,5.1,630,37399,1.8,351.9333,13.4,273.2675,7802,2316,0.00110130731828
Cottle,1920,3.7,10,679,2.8,359.2211,15.4,212.2349,445,42,0.000771932846259
Crane,2660,4.7,40,2323,2.6,358.0079,13.8,140.8212,894,130,0.000657715296508
Crockett,38100,5.7,350,1962,2.1,344.9196,16.7,184.0985,757,149,0.000845169316648
Crosby,1490,3.5,10,2928,3,339.6285,26.5,207.6925,1511,136,0.00098506672337
Culberson,39030,4.6,400,1142,3.7,338.8596,25.2,140.9684,628,69,0.000908187520569
Dallam,16050,2.8,370,3555,7.7,327.1227,18.1,191.0151,1710,112,0.000369305315774
Dallas,9178020,10.1,226650,1193408,1.7,353.8498,19.1,316.9877,663481,153405,0.0574948579033
Dawson,18910,2.2,240,7966,3.1,344.1097,21.9,183.1813,2920,199,0.000559190309116
Deaf Smith,16410,4.6,260,9558,0.7,324.9841,18.9,207.6824,5469,516,0.000507436782772
Delta,1370,3.3,10,2555,0.5,345.9819,17.9,348.0492,917,121,0.000940239731195
Denton,702930,12.5,13540,338598,1.1,351.3637,8.7,319.4394,107865,53744,0.0124489142015
DeWitt,70600,4.2,1290,10691,1.2,354.2645,13.5,284.8963,3681,607,0.00086977133176
Dickens,470,3.8,10,1310,2.2,349.4481,18.8,209.1322,407,68,0.000774762470195
Dimmit,46490,3.3,1270,4889,1.9,371.7959,26.5,200.4902,2857,203,0.00193549467792
Donley,6530,6.9,150,1770,1,346.0472,16.7,229.4783,693,167,0.00130274008085
Duval,13310,1.7,170,6151,1.2,361.7348,19.7,227.4805,3284,128,0.000720701536199
Eastland,16380,3.7,340,9090,0.5,348.3481,19,251.6071,4320,457,0.00084897813633
Ector,388710,3.8,10370,70373,0.8,347.4783,15.9,149.711,38281,3203,0.000554474120853
Edwards,960,6.9,10,1025,8.4,340.8674,18.4,212.7895,418,102,0.00143425393033
Ellis,147840,6.3,2350,75061,0.6,355.8002,11.9,305.9003,28240,5942,0.00165347589675
El Paso,1658620,6.7,25850,396192,2.8,354.3633,23.3,127.4165,222875,32064,0.0030467692794
Erath,48890,7,740,19031,0.9,349.0221,22.3,277.3012,9198,1566,0.00255849161252
Falls,10310,3.5,170,8276,2.1,357.1308,20.9,281.255,3360,418,0.00131110071936
Fannin,12850,5,120,17790,1.1,343.1474,17.2,354.904,6160,1180,0.00133830714529
Fayette,44150,4.1,620,12148,1.7,354.1365,11.6,307.6693,3747,721,0.000819361351677
Fisher,1080,5,10,1936,1.6,353.7774,17.1,214.6691,712,133,0.00100896078398
Floyd,5870,4.1,30,3106,0.7,334.2711,20.3,215.0014,1102,168,0.00063562880885
Foard,340,7,0,557,0,362.6555,15.4,222.5019,255,59,0.00171889602153
Fort Bend,510180,14.2,10210,299234,1.2,340.4976,8.4,335.1131,103779,54226,0.0118242270309
Franklin,9340,8.5,110,5378,0.8,346.2274,14.4,343.2395,2048,619,0.00239607992728
Freestone,54460,3.1,500,10368,0.9,355.6881,15.6,303.9896,4034,424,0.000852959013358
Frio,47210,1.4,1180,10297,2.4,362.7534,24,218.1458,3876,150,0.000944128726339
Gaines,15470,2.6,230,9154,2.8,342.5574,16.8,178.848,6522,259,0.000398201312214
Galveston,843910,10.1,23820,146880,2.9,325.9111,13.3,372.459,53015,19709,0.00379856859055
Garza,10690,3.2,100,3925,1.3,345.4622,15.5,201.6406,976,149,0.000473983527636
Gillespie,89050,10.1,2580,12160,2.5,338.9046,12,252.6868,4780,1861,0.00190766745796
